,Sid,Income,Outcome,Ratio,Borough
257,416,961.0,937.0,0.506322444679,Brooklyn
258,415,2521.0,3036.0,0.453662047868,Manhattan
259,82,1145.0,1130.0,0.503296703297,Manhattan
260,411,1747.0,1682.0,0.509477981919,Manhattan
261,427,3175.0,3144.0,0.502452919766,Manhattan
262,420,732.0,656.0,0.527377521614,Brooklyn
263,310,1753.0,1868.0,0.484120408727,Brooklyn
264,314,1459.0,1517.0,0.490255376344,Brooklyn
265,354,713.0,725.0,0.495827538248,Brooklyn
266,239,1108.0,1049.0,0.513676402411,Brooklyn
267,363,4971.0,4640.0,0.517219852253,Manhattan
268,143,1245.0,1266.0,0.495818399044,Brooklyn
269,2017,1060.0,1086.0,0.49394221808,Manhattan
270,513,2753.0,2761.0,0.499274573812,Manhattan
271,518,6352.0,6322.0,0.501183525327,Manhattan
272,233,600.0,614.0,0.494233937397,Brooklyn
273,137,2800.0,2577.0,0.520736470151,Manhattan
274,399,504.0,430.0,0.539614561028,Brooklyn
275,289,269.0,296.0,0.47610619469,Brooklyn
276,421,464.0,484.0,0.489451476793,Brooklyn
277,276,2212.0,2169.0,0.504907555353,Manhattan
278,245,615.0,572.0,0.518112889638,Brooklyn
279,316,2329.0,2321.0,0.500860215054,Manhattan
280,313,1121.0,1147.0,0.494268077601,Brooklyn
281,390,858.0,839.0,0.505598114319,Brooklyn
282,436,365.0,365.0,0.5,Brooklyn
283,241,891.0,829.0,0.518023255814,Brooklyn
284,408,1513.0,1524.0,0.498189002305,Manhattan
285,356,2563.0,2257.0,0.531742738589,Manhattan
286,440,2774.0,2817.0,0.496154534073,Manhattan
287,366,1539.0,1469.0,0.511635638298,Brooklyn
288,339,835.0,800.0,0.510703363914,Manhattan
289,262,803.0,638.0,0.557251908397,Brooklyn
290,487,3540.0,4024.0,0.468006345849,Manhattan
291,373,621.0,640.0,0.49246629659,Brooklyn
292,386,3495.0,3456.0,0.502805351748,Manhattan
293,456,2172.0,2188.0,0.498165137615,Manhattan
