,id,Latitude,Longitude
704,460,40.71285887,-73.96590294
722,516,40.75206862,-73.96784384
738,341,40.71782143,-73.97628939
750,2000,40.70255088,-73.98940236
760,323,40.69236178,-73.98631746
775,150,40.7208736,-73.98085795
811,530,40.771522,-73.990541
814,473,40.72110063,-73.9919254
819,164,40.75323098,-73.97032517
825,467,40.68312489,-73.97895137
838,400,40.71926081,-73.98178024
840,305,40.76095756,-73.96724467
861,509,40.7454973,-74.00197139
865,351,40.70530954,-74.00612572
878,462,40.74691959,-74.00451887
886,264,40.70706456,-74.00731853
888,2006,40.76590936,-73.97634151
905,260,40.70365182,-74.01167797
908,340,40.71269042,-73.98776323
915,243,40.688226,-73.979382
918,249,40.71870987,-74.0090009
960,216,40.70037867,-73.99548059
972,167,40.7489006,-73.97604882
988,2002,40.716887,-73.963198
1023,266,40.72368361,-73.97574813
1040,304,40.70463334,-74.01361706
1055,416,40.68753406,-73.97265183
1060,415,40.7047177,-74.00926027
1107,82,40.71117416,-74.00016545
1147,411,40.72228087,-73.97668709
1168,427,40.701907,-74.013942
1174,420,40.68764484,-73.96968902
1187,310,40.68926942,-73.98912867
1259,314,40.69383,-73.990539
1317,354,40.69363137,-73.96223558
1340,239,40.69196566,-73.9813018
1365,363,40.70834698,-74.01713445
1369,143,40.69239502,-73.99337909
1387,2017,40.75022392,-73.97121414
1397,513,40.768254,-73.988639
1412,518,40.74780373,-73.9734419
1414,233,40.69475701,-73.99052739
1421,137,40.761628,-73.972924
1426,399,40.68851534,-73.9647628
1451,289,40.6845683,-73.95881081
1455,421,40.69573398,-73.97129668
1470,276,40.71748752,-74.0104554
1478,245,40.69327018,-73.97703874
1494,316,40.70955958,-74.00653609
1526,313,40.69610226,-73.96751037
1530,390,40.69221589,-73.9842844
1537,436,40.68216564,-73.95399026
1543,241,40.68981035,-73.97493121
1563,408,40.71076228,-73.99400398
1595,356,40.71622644,-73.98261206
1616,440,40.75255434,-73.97282625
1627,366,40.693261,-73.968896
1641,339,40.72580614,-73.97422494
1645,262,40.6917823,-73.9737299
1646,487,40.73314259,-73.97573881
1647,373,40.69331716,-73.95381995
1699,386,40.71494807,-74.00234482
1709,456,40.7597108,-73.97402311
1770,3016,40.77105186,-73.9643383
1824,332,40.71219906,-73.97948148
1858,344,40.6851443,-73.95380904
1866,414,40.70281858,-73.98765762
1918,392,40.695065,-73.987167
2048,464,40.75934501,-73.96759673
2117,343,40.69794,-73.96986848
2194,228,40.7546011,-73.97187886
2197,322,40.696192,-73.991218
2257,2023,40.75968085,-73.97031366
2413,409,40.6906495,-73.95643107
2417,524,40.75527307,-73.98316936
2458,398,40.69165183,-73.9999786
2577,248,40.72185379,-74.00771779
2606,517,40.751581,-73.97791
2728,282,40.70827295,-73.96834101
2749,337,40.7037992,-74.00838676
3115,2001,40.699773,-73.979927
3121,534,40.70255065,-74.0127234
3228,152,40.71473993,-74.00910627
3430,364,40.68900443,-73.96023854
3544,309,40.7149787,-74.013012
3609,3014,40.722852,-73.959114
3732,362,40.75172632,-73.98753523
3822,144,40.69839895,-73.98068914
4369,267,40.75097711,-73.98765428
4701,242,40.697787,-73.973736
5597,119,40.69608941,-73.97803415
5948,484,40.75500254,-73.98014437
6158,419,40.69580705,-73.97355569
6657,437,40.68098339,-73.95004798
12834,218,40.69028437,-73.98707105
51492,2005,40.70531194,-73.97100056
83065,3181,40.692609,-74.016398
157047,3120,40.74161,-73.96044
163639,3182,40.686931,-74.016966
177067,540,40.74311555,-73.98215353
248174,481,40.71260486,-73.96264403
268358,384,40.683048,-73.964915
397688,3125,40.74708586,-73.94977234
405288,3130,40.75325964,-73.94335788
416238,3126,40.74718234,-73.9432635
427258,3121,40.74524768,-73.94733276
433928,3124,40.74731,-73.95451
437868,3117,40.73564,-73.95866
437982,3129,40.75110165,-73.94073717
468951,3113,40.73026,-73.95394
473295,3108,40.72557,-73.94434
473375,3119,40.74232744,-73.95411749
480670,3112,40.72906,-73.95779
482281,3127,40.74966,-73.9521
501309,3115,40.73232194,-73.9550858
512115,3109,40.72606,-73.95621
517765,3110,40.72708584,-73.95299117
517855,3111,40.7258483,-73.95064893
517909,3118,40.73555,-73.95284
610391,3107,40.72311651,-73.95212324
615806,3102,40.72179134,-73.9504154
619970,3098,40.71928,-73.94861
622023,3103,40.72153267,-73.95782357
623650,3101,40.72079821,-73.95484712
629167,3123,40.74469738,-73.93540375
650779,3092,40.7190095,-73.95852515
650788,3087,40.71413311,-73.95234386
651516,319,40.711066,-74.009447
653696,3104,40.72057658,-73.96150225
655257,3095,40.71929301,-73.94500379
659225,3090,40.71774592,-73.95600096
664795,3088,40.7160751,-73.952029
670465,3094,40.7169811,-73.94485918
672384,3084,40.71348658,-73.94792458
685017,3106,40.72325,-73.94308
686753,3097,40.71921585,-73.9424469
691269,3081,40.711863,-73.944024
691622,3091,40.71764,-73.94882
695317,3083,40.71247661,-73.94100005
706007,3073,40.70691254,-73.95441667
708164,3075,40.70708701,-73.95796783
713432,3079,40.71103537,-73.94714303
714583,3077,40.70877084,-73.95095259
731773,3069,40.70411791,-73.94818595
732372,3071,40.70538077,-73.94976519
734032,3074,40.70767788,-73.94016171
735297,3076,40.70870368,-73.9448625
735368,3070,40.70510918,-73.94407279
736267,3065,40.70029511,-73.95032283
758232,3072,40.70583339,-73.94644578
764107,3067,40.7016657,-73.9437303
764638,3060,40.69425403,-73.94626915
767769,3068,40.7031724,-73.940636
772921,3066,40.69957608,-73.94708417
774794,3062,40.69539817,-73.94954908
776161,3063,40.69527008,-73.95238108
786851,3064,40.69681963,-73.93756926
787961,3061,40.69622937,-73.94371094
790220,3179,40.698617,-73.941342
874374,3086,40.715143,-73.944507
874685,3093,40.71745169,-73.95850939
880303,3114,40.73165141,-73.96161892
900443,3105,40.724055,-73.955736
914618,3059,40.6933982,-73.939877
921091,3055,40.6883337,-73.950916
936671,3053,40.6900815,-73.947915
944049,3057,40.69128258,-73.9452416
947290,3056,40.69072549,-73.95133465
951100,3054,40.6894932,-73.942061
958531,3050,40.6851532,-73.94111
960857,3048,40.68402,-73.94977
961884,3052,40.686312,-73.935775
964783,278,40.69766564,-73.98476437
979729,271,40.68522672,-73.97800148
981848,3222,40.6851596,-73.97711366
983538,3223,40.75899656,-73.96865398
988877,3058,40.69237074,-73.93705428
1008812,3128,40.75052534,-73.94594845
1009534,3046,40.682601,-73.938037
1014555,3047,40.6823687,-73.944118
1022104,3041,40.67890679,-73.94142771
1024210,3044,40.6800105,-73.938475
1027506,3043,40.6814598,-73.934903
1041471,3042,40.6794268,-73.9298911
1046623,3049,40.68488,-73.96304
1152455,3133,40.76735637,-73.96493528
1154678,3158,40.77163851,-73.98261428
1159318,3224,40.73997354,-74.00513873
1058064,3165,40.77575319,-73.97603963
1120420,3164,40.7770575,-73.97898475
